country,year,total_deaths_that_are_from_all_causes__in_both_sexes_aged_all_ages,total_estimated_deaths,difference,share_deaths_with_cause
Guatemala,2005,70950,74541,-3591,95.182517
Kyrgyzstan,2011,35941,37763,-1822,95.17517146
Barbados,1985,2226,2339,-113,95.16887559
Mauritius,1980,6685,7025,-340,95.16014235
Kyrgyzstan,2010,36174,38015,-1841,95.1571748
Croatia,2002,50569,53158,-2589,95.1296136
Croatia,2019,51794,54451,-2657,95.12038346
Japan,1986,750620,789201,-38581,95.11138481
Brazil,2013,1210474,1272713,-62239,95.10973802
French Guiana,2001,660,694,-34,95.10086455
Belarus,2011,135090,142061,-6971,95.09295303
Puerto Rico,2003,28202,29658,-1456,95.09070065
Georgia,2018,46524,48926,-2402,95.0905449
Kuwait,1980,4932,5187,-255,95.0838635
Puerto Rico,1983,21400,22507,-1107,95.08153019
Armenia,2013,27196,28608,-1412,95.06431767
Cuba,1986,63145,66428,-3283,95.05780695
Mexico,1969,458886,482780,-23894,95.05074775
Thailand,2005,395374,415962,-20588,95.05050942
Mauritius,1989,6946,7308,-362,95.04652436
Albania,2003,17965,18903,-938,95.03782468
Kuwait,1979,5028,5291,-263,95.02929503
Saint Lucia,1973,840,884,-44,95.02262443
Hong Kong,2007,39963,42057,-2094,95.02104287
Reunion,2013,4253,4476,-223,95.0178731
Guyana,2013,5378,5660,-282,95.01766784
Belarus,2010,137132,144325,-7193,95.01610948
Saint Lucia,1997,972,1023,-51,95.01466276
North Macedonia,1996,16062,16905,-843,95.01330967
Kazakhstan,2006,157210,165485,-8275,94.99954679
Hong Kong,2016,46662,49121,-2459,94.99399442
Japan,1987,751172,790769,-39597,94.99259581
Belarus,1981,93136,98058,-4922,94.98052173
French Guiana,1972,397,418,-21,94.97607656
Cuba,1989,67356,70922,-3566,94.97194101
South Korea,2020,304948,321110,-16162,94.9668338
Maldives,2018,1301,1370,-69,94.96350365
Cuba,2000,76463,80523,-4060,94.95796232
Guatemala,2006,69756,73464,-3708,94.95262986
Chile,1956,84199,88694,-4495,94.93201344
Bulgaria,2013,104345,109918,-5573,94.9298568
Chile,2017,106388,112090,-5702,94.91301633
Venezuela,1994,98991,104309,-5318,94.90168634
Saint Vincent and the Grenadines,1985,651,686,-35,94.89795918
Japan,1989,788594,831028,-42434,94.89379419
Bulgaria,1981,95441,100577,-5136,94.89346471
Japan,1988,793014,835803,-42789,94.88049217
Trinidad and Tobago,1982,7641,8054,-413,94.87211324
Antigua and Barbuda,2002,444,468,-24,94.87179487
Barbados,2012,2326,2452,-126,94.86133768
Bulgaria,2016,107580,113430,-5850,94.84263422
Latvia,2021,34231,36094,-1863,94.83847731
Panama,2005,14183,14955,-772,94.83784687
Martinique,1974,2296,2421,-125,94.83684428
Puerto Rico,1972,19010,20045,-1035,94.83661761
Puerto Rico,2007,29169,30762,-1593,94.82153306
Bulgaria,2012,109281,115250,-5969,94.8208243
Bulgaria,2014,108952,114907,-5955,94.8175481
Malta,2004,2999,3163,-164,94.815049
Costa Rica,1993,12544,13230,-686,94.81481481
Latvia,2014,28201,29746,-1545,94.80602434
Lithuania,2016,41106,43359,-2253,94.80384695
Bulgaria,2011,108258,114213,-5955,94.78605763
Latvia,2015,28185,29737,-1552,94.78091267
Greece,1976,81818,86329,-4511,94.7746412
Mexico,1971,458323,483615,-25292,94.77022011
Trinidad and Tobago,1986,7699,8125,-426,94.75692308
Kyrgyzstan,2003,35945,37935,-1990,94.75418479
Bulgaria,2010,110165,116301,-6136,94.72403505
Saint Lucia,1996,933,985,-52,94.72081218
Belarus,2013,125326,132318,-6992,94.71576052
Brunei,1996,1002,1058,-56,94.70699433
Bulgaria,2015,110117,116272,-6155,94.70637815
Japan,1990,820305,866210,-45905,94.70047679
Japan,1991,829797,876244,-46447,94.6993075
Martinique,1985,2140,2260,-120,94.69026549
Bulgaria,2017,109791,115964,-6173,94.67679625
Barbados,2006,2326,2457,-131,94.66829467
Trinidad and Tobago,1977,7311,7723,-412,94.66528551
Bahamas,2002,1827,1930,-103,94.66321244
Venezuela,1972,73548,77695,-4147,94.66246219
Mauritius,1990,6854,7241,-387,94.65543433
Albania,1992,17238,18215,-977,94.63628877
Belarus,2014,121542,128437,-6895,94.63160927
Greece,1977,83750,88503,-4753,94.62956058
Croatia,2001,49552,52368,-2816,94.62267033
Chile,2015,103327,109199,-5872,94.62266138
Bosnia and Herzegovina,2020,44427,46952,-2525,94.62216732
Japan,1992,856643,905681,-49038,94.58551079
Panama,2018,19720,20849,-1129,94.58487218
Saint Kitts and Nevis,1972,541,572,-31,94.58041958
Albania,1987,17326,18319,-993,94.57939844
Costa Rica,1999,15052,15917,-865,94.56555884
Guadeloupe,1974,2401,2539,-138,94.56478929
Cuba,2008,86423,91396,-4973,94.55884284
Kazakhstan,2011,144197,152509,-8312,94.54982985
Chile,2016,104026,110030,-6004,94.54330637
Montenegro,2000,5412,5725,-313,94.53275109
Armenia,2021,34388,36379,-1991,94.52706232
Montenegro,2002,5513,5833,-320,94.51397223
Bulgaria,2020,124735,131998,-7263,94.4976439
Japan,1993,878532,929713,-51181,94.4949678
Kazakhstan,2007,158294,167518,-9224,94.49372605
Fiji,2002,5642,5971,-329,94.49003517
Chile,2013,99769,105599,-5830,94.47911439
Bulgaria,2009,108068,114399,-6331,94.46586072
Trinidad and Tobago,1967,6775,7172,-397,94.4645845
Montenegro,2006,5968,6319,-351,94.44532363
Saint Lucia,2004,1070,1133,-63,94.43954104
Thailand,2011,414670,439101,-24431,94.43613201
Kyrgyzstan,2019,33295,35261,-1966,94.42443493
Bulgaria,1982,100293,106217,-5924,94.42273836
Chile,2007,89558,94861,-5303,94.40971527
Lithuania,2020,43547,46127,-2580,94.40674659
Colombia,1961,175612,186049,-10437,94.39018753
Barbados,1994,2406,2549,-143,94.38995685
Puerto Rico,1984,21732,23025,-1293,94.38436482
Japan,1994,875933,928086,-52153,94.38058542
Thailand,2015,445964,472520,-26556,94.37992043
Uruguay,1964,24115,25552,-1437,94.37617408
Bulgaria,2008,110523,117122,-6599,94.36570414
Iceland,2019,2277,2413,-136,94.36386241
Panama,2015,18182,19268,-1086,94.36371185
Costa Rica,1985,10493,11121,-628,94.35302581
Hong Kong,1961,18737,19859,-1122,94.35016869
Japan,1996,896211,949894,-53683,94.34852731
Kyrgyzstan,2005,36992,39209,-2217,94.34568594
Guatemala,2010,72748,77115,-4367,94.33702911
Qatar,2007,1781,1888,-107,94.33262712
Chile,2014,101960,108090,-6130,94.32880007
Reunion,2014,4349,4611,-262,94.31793537
Trinidad and Tobago,1957,7283,7722,-439,94.31494431
Japan,1995,922139,977753,-55614,94.31206041
Albania,1988,17273,18315,-1042,94.31067431
Costa Rica,2001,15609,16551,-942,94.308501
Lithuania,2017,40142,42582,-2440,94.26987929
Mexico,1968,452910,480514,-27604,94.25531826
Qatar,2012,2031,2155,-124,94.24593968
French Guiana,2004,719,763,-44,94.23328965
Fiji,2004,5628,5973,-345,94.22400804
Guatemala,2009,71707,76104,-4397,94.2223799
Trinidad and Tobago,1984,7819,8299,-480,94.21617062
Mauritius,2017,9914,10524,-610,94.20372482
Bosnia and Herzegovina,2011,35028,37184,-2156,94.20180723
Japan,1997,913402,969625,-56223,94.20157277
Colombia,1959,176834,187724,-10890,94.19893034
Venezuela,1980,76834,81573,-4739,94.19047969
Trinidad and Tobago,1952,7999,8493,-494,94.18344519
Japan,1998,936484,994334,-57850,94.18203541
Costa Rica,2000,14944,15868,-924,94.17695992
Trinidad and Tobago,1983,7546,8013,-467,94.17197055
Maldives,2008,1066,1132,-66,94.16961131
Antigua and Barbuda,2003,451,479,-28,94.15448852
Bulgaria,2019,108083,114802,-6719,94.14731451
French Guiana,2010,771,819,-48,94.13919414
Hong Kong,1987,26959,28642,-1683,94.12401369
Trinidad and Tobago,1955,7462,7929,-467,94.11022828
Reunion,2009,4104,4362,-258,94.08528198
Bulgaria,2007,113004,120112,-7108,94.08218996
Kazakhstan,2005,157119,167065,-9946,94.04662856
Latvia,2018,28530,30338,-1808,94.04047729
Bulgaria,1983,102182,108661,-6479,94.03741913
Reunion,2011,4034,4290,-256,94.03263403
Sri Lanka,1966,94419,100429,-6010,94.01567276
Thailand,2014,435624,463360,-27736,94.01415746
Latvia,2016,28215,30012,-1797,94.01239504
Reunion,2002,4001,4256,-255,94.00845865
Kazakhstan,2010,145873,155171,-9298,94.00790096
Brazil,2011,1170498,1245125,-74627,94.00646521
Japan,1999,982031,1044710,-62679,94.00034459
Bulgaria,2006,113438,120687,-7249,93.99355357
Thailand,2004,393592,418808,-25216,93.9791026
Bulgaria,1984,101419,107927,-6508,93.96999824
Sri Lanka,1980,91020,96865,-5845,93.96582873
Panama,2007,14777,15729,-952,93.94748554
Trinidad and Tobago,1979,7060,7515,-455,93.94544245
Saint Kitts and Nevis,1988,465,495,-30,93.93939394
Cuba,2009,86940,92560,-5620,93.92826275
Cuba,2013,92273,98243,-5970,93.92323117
Trinidad and Tobago,1975,6899,7346,-447,93.91505581
Venezuela,1983,76725,81702,-4977,93.90834986
Hong Kong,1964,18110,19285,-1175,93.90718175
Japan,2000,961653,1024232,-62579,93.89015379
Kazakhstan,2008,152706,162649,-9943,93.88683607
Latvia,2017,28459,30315,-1856,93.87761834
Cuba,2004,81110,86402,-5292,93.87514178
Puerto Rico,2011,29758,31700,-1942,93.87381703
French Guiana,1968,383,408,-25,93.87254902
Qatar,2005,1547,1648,-101,93.87135922
Belarus,1992,116674,124296,-7622,93.86786381
Mexico,1973,458915,488957,-30042,93.85590144
Guatemala,2001,67947,72397,-4450,93.85333646
Iceland,2020,2305,2456,-151,93.85179153
Romania,2006,258094,275010,-16916,93.84895095
Hong Kong,2003,36423,38815,-2392,93.83743398
Bosnia and Herzegovina,2019,38829,41386,-2557,93.82158218
Puerto Rico,2014,30152,32139,-1987,93.81748032
Hong Kong,1984,25580,27266,-1686,93.81647473
Venezuela,2016,190474,203029,-12555,93.81615434
Japan,2001,970331,1034354,-64023,93.81033959
French Guiana,2012,788,840,-52,93.80952381
Chile,2012,98711,105229,-6518,93.80589001
Panama,2006,14358,15307,-949,93.80022212
Croatia,1995,50536,53878,-3342,93.79709715
Mauritius,2007,8323,8875,-552,93.78028169
Chile,2008,86783,92540,-5757,93.77890642
Costa Rica,1998,14708,15684,-976,93.77709768
Kyrgyzstan,1994,37109,39573,-2464,93.77353246
Bulgaria,1986,104039,110958,-6919,93.76430722
Guatemala,1990,73344,78226,-4882,93.75910822
Kazakhstan,2012,142880,152408,-9528,93.74835967
Hong Kong,1986,26030,27766,-1736,93.74774905
Bulgaria,1985,107485,114658,-7173,93.74400391
South Africa,2009,572673,610904,-38231,93.74189725
Cuba,1978,54949,58631,-3682,93.72004571
Luxembourg,2017,4012,4281,-269,93.7164214
Qatar,2009,2010,2145,-135,93.70629371
Kyrgyzstan,2013,34880,37224,-2344,93.70298732
Cuba,2016,99388,106068,-6680,93.70215334
Thailand,2017,458010,488817,-30807,93.69764145
Costa Rica,1987,10687,11406,-719,93.69630019
Barbados,1989,2303,2458,-155,93.69406021
Japan,2002,982379,1048503,-66124,93.6934849
North Macedonia,1994,15771,16837,-1066,93.66870583
Lithuania,2021,47746,50975,-3229,93.66552231
Bulgaria,2018,108526,115908,-7382,93.63115574
France,1951,530294,566424,-36130,93.6213861
Latvia,2020,28589,30538,-1949,93.61778767
Kyrgyzstan,1995,36916,39435,-2519,93.61227336
Jamaica,2010,15440,16494,-1054,93.6097975
Malta,2000,2973,3176,-203,93.60831234
Bulgaria,2005,113374,121129,-7755,93.59773465
Belarus,1988,102671,109697,-7026,93.59508464
Kazakhstan,2003,155302,165942,-10640,93.58812115
Mauritius,1979,6625,7079,-454,93.58666478
Thailand,2013,426065,455271,-29206,93.58491975
Saint Kitts and Nevis,1974,510,545,-35,93.57798165
Egypt,1987,466161,498249,-32088,93.55984658
Egypt,2010,491609,525460,-33851,93.55783504
Belarus,1990,109582,117128,-7546,93.55747558
Lithuania,2018,39574,42305,-2731,93.54449829
Puerto Rico,1969,17658,18877,-1219,93.5424061
Puerto Rico,1975,19073,20390,-1317,93.54095145
Romania,1959,186767,199692,-12925,93.5275324
Kuwait,2014,6031,6449,-418,93.51837494
Dominica,1974,503,538,-35,93.49442379
Hong Kong,2017,45883,49078,-3195,93.48995477
Argentina,1986,239599,256323,-16724,93.47541969
Latvia,2019,27492,29413,-1921,93.46887431
Venezuela,1985,79356,84914,-5558,93.45455402
Japan,2003,1014951,1086210,-71259,93.43966636
Hong Kong,1985,25359,27140,-1781,93.43773029
French Guiana,2002,669,716,-47,93.43575419
Kazakhstan,2000,148855,159320,-10465,93.4314587
Brazil,2010,1136946,1217149,-80203,93.4105849
Puerto Rico,2008,28871,30911,-2040,93.40040762
Hong Kong,1965,17621,18867,-1246,93.3958764
Japan,2004,1028602,1101430,-72828,93.3878685
Trinidad and Tobago,1974,6716,7192,-476,93.38153504
Hong Kong,2000,33989,36403,-2414,93.36867841
Kyrgyzstan,2009,35898,38450,-2552,93.36280884
Belarus,2018,120053,128588,-8535,93.36252216
South Africa,2010,543856,582529,-38673,93.36118889
South Africa,2008,592073,634342,-42269,93.33655977
Mauritius,1981,6404,6862,-458,93.32556106
Venezuela,1992,91593,98148,-6555,93.32131067
Dominica,1977,515,552,-37,93.29710145
Costa Rica,1986,10449,11200,-751,93.29464286
Lithuania,2019,38281,41043,-2762,93.27047243
Belarus,1987,99921,107164,-7243,93.2412004
Guatemala,1998,70504,75620,-5116,93.23459402
Hong Kong,2004,37321,40035,-2714,93.22093168
French Guiana,2006,726,779,-53,93.19640565
Moldova,2010,43631,46819,-3188,93.19079861
Colombia,1976,153966,165226,-11260,93.18509193
Brazil,2012,1181166,1267614,-86448,93.18025834
Thailand,2009,393747,422595,-28848,93.17360593
Sri Lanka,1997,114591,122998,-8407,93.16492951
Mauritius,1982,6385,6854,-469,93.15728042
Armenia,1995,24842,26667,-1825,93.15633555
Bulgaria,2004,110110,118212,-8102,93.14621189
Bulgaria,1988,107385,115290,-7905,93.14337757
Costa Rica,2003,15800,16967,-1167,93.12194259
Japan,2005,1083796,1164011,-80215,93.1087421
Guatemala,2011,72354,77720,-5366,93.09572826
Qatar,2011,1949,2094,-145,93.07545368
Hong Kong,2011,42188,45330,-3142,93.06860799
Saint Lucia,2003,1047,1125,-78,93.06666667
Hong Kong,1969,18729,20125,-1396,93.06335404
Bulgaria,1987,107213,115222,-8009,93.04907049
South Africa,2016,471955,507232,-35277,93.04519431
Mauritius,1977,6966,7487,-521,93.04127154
Kuwait,1981,4678,5028,-350,93.0389817
Panama,2008,15115,16248,-1133,93.02683407
Kyrgyzstan,2016,33475,35985,-2510,93.02487147
Hong Kong,2013,43399,46654,-3255,93.02310627
Luxembourg,2019,4008,4309,-301,93.01462056
French Guiana,1974,385,414,-29,92.99516908
Venezuela,1993,93411,100458,-7047,92.98512811
Colombia,1968,169083,181890,-12807,92.95893122
Dominica,1996,607,653,-46,92.95558959
Greece,1975,80077,86152,-6075,92.94850961
Albania,2004,17748,19095,-1347,92.94579733
Thailand,2012,415141,446746,-31605,92.92551025
Japan,2006,1084450,1167291,-82841,92.90314069
Uruguay,1963,23520,25319,-1799,92.89466409
Bulgaria,1989,106902,115087,-8185,92.88798909
Turkey,2013,357533,384967,-27434,92.87367489
Egypt,2011,493069,530966,-37897,92.86263151
Iceland,2021,2332,2512,-180,92.8343949
Cuba,1984,59801,64419,-4618,92.83130753
Kazakhstan,2021,182403,196490,-14087,92.83067841
Greece,1970,74009,79732,-5723,92.82220438
Bosnia and Herzegovina,2017,37979,40917,-2938,92.81961043
Trinidad and Tobago,1981,7354,7924,-570,92.8066633
Philippines,2014,536999,578645,-41646,92.80284112
Bulgaria,2003,111927,120653,-8726,92.76768916
Guatemala,2012,72657,78328,-5671,92.75993259
Barbados,2004,2306,2486,-180,92.75945294
Japan,2007,1108334,1194942,-86608,92.75211684
Qatar,2010,1970,2124,-154,92.74952919
Kyrgyzstan,2017,33166,35759,-2593,92.74867865
South Africa,2006,607184,654889,-47705,92.71555943
Panama,2011,16367,17654,-1287,92.70986745
Costa Rica,1984,9931,10712,-781,92.70911128
Armenia,2018,25751,27777,-2026,92.70619577
South Africa,2007,601133,648440,-47307,92.70449078
Hong Kong,2009,41047,44286,-3239,92.68617622
Panama,2009,15498,16721,-1223,92.68584415
Guatemala,1994,74761,80663,-5902,92.68313849
Guatemala,1968,79421,85700,-6279,92.67327888
South Africa,2011,514486,555206,-40720,92.66578531
Sri Lanka,1964,95618,103191,-7573,92.66118169
Panama,2019,20049,21641,-1592,92.64359318
Japan,2008,1142407,1233341,-90934,92.62701881
Puerto Rico,2012,29665,32040,-2375,92.58739076
Belize,2006,1395,1507,-112,92.56801593
Sri Lanka,1999,115330,124622,-9292,92.54385261
Argentina,1982,232638,251391,-18753,92.54030574
Puerto Rico,1970,18080,19540,-1460,92.52814739
Belize,2007,1386,1498,-112,92.52336449
South Africa,2012,491100,530829,-39729,92.51566889
Mexico,2003,470692,508888,-38196,92.4942227
Cuba,2003,78434,84808,-6374,92.4841996
Croatia,1991,54832,59288,-4456,92.48414519
Kyrgyzstan,2002,35235,38109,-2874,92.45847438
Kyrgyzstan,1998,34596,37420,-2824,92.45323356
Argentina,1985,239181,258730,-19549,92.4442469
Trinidad and Tobago,1971,7044,7620,-576,92.44094488
Paraguay,2016,31315,33876,-2561,92.44007557
Saint Kitts and Nevis,1990,464,502,-38,92.43027888
Japan,2009,1141865,1235455,-93590,92.42465327
Guatemala,1991,72896,78875,-5979,92.41965135
Barbados,1992,2365,2559,-194,92.41891364
Thailand,2018,461818,499760,-37942,92.40795582
El Salvador,2015,40869,44230,-3361,92.40108524
Japan,2010,1197012,1295676,-98664,92.38513332
El Salvador,2017,39835,43135,-3300,92.34960009
Dominica,1972,543,588,-45,92.34693878
Bulgaria,2002,112617,121957,-9340,92.34156301
Guatemala,2004,66876,72426,-5550,92.33700605
Guatemala,2003,66612,72144,-5532,92.33200266
Japan,2011,1253066,1357134,-104068,92.33178153
Georgia,2006,42255,45767,-3512,92.32634868
Bulgaria,2001,112368,121751,-9383,92.29328712
Trinidad and Tobago,1962,6465,7005,-540,92.29122056
Mauritius,1985,6691,7253,-562,92.25148215
Martinique,1975,2190,2374,-184,92.24936816
Puerto Rico,2006,28206,30588,-2382,92.2126324
Philippines,2009,480789,521392,-40603,92.2125771
Bahamas,1980,1311,1422,-111,92.19409283
Sri Lanka,1981,88481,95973,-7492,92.19363779
Dominica,1962,661,717,-56,92.18967922
Puerto Rico,2009,29004,31472,-2468,92.1581088
Venezuela,1989,84886,92120,-7234,92.14719931
Japan,2013,1268436,1376554,-108118,92.14574946
Cuba,2012,89372,96990,-7618,92.14558202
Venezuela,1979,73685,79968,-6283,92.14310724
Japan,2012,1256359,1363506,-107147,92.14180209
Guatemala,2000,67135,72863,-5728,92.1386712
Hong Kong,2002,34316,37246,-2930,92.13338345
Brazil,2009,1103088,1197320,-94232,92.12975646
Belarus,1986,97276,105589,-8313,92.12702081
